epoch,loss,val_loss
0,3.4310476779937744,0.970407247543335
1,2.0530245304107666,0.9177584648132324
2,1.5278918743133545,0.8736872673034668
3,1.1753804683685303,0.8358397483825684
4,1.076789140701294,0.8282402157783508
5,0.850766658782959,0.8195288181304932
6,0.8347456455230713,0.8417194485664368
7,0.7380834817886353,0.8698273301124573
8,0.6898430585861206,0.8724427223205566
9,0.6746410131454468,0.8573899269104004
10,0.6637292504310608,0.8178953528404236
11,0.7400361895561218,0.7809696793556213
12,0.5314282774925232,0.7676278948783875
13,0.579314112663269,0.7647107243537903
14,0.4407529830932617,0.7763752341270447
15,0.4054509699344635,0.793290913105011
16,0.7018577456474304,0.798613429069519
17,0.503253161907196,0.8050828576087952
18,0.7174720168113708,0.8112469911575317
19,0.6467190384864807,0.8158548474311829
20,0.6624366044998169,0.8133519291877747
21,0.40676072239875793,0.8213270306587219
22,0.5181574821472168,0.8334665894508362
23,0.4418542981147766,0.8461366295814514
